Unnamed: 0,Tweet,,,,,,Sentiment
0,"Why is @JoeBiden a good candidate? ""Tell the truth and let the cards fall where they may. Why would you want the job unless you did that?""",,,,,,NEGATIVE
1,Join #Biden later today for some tie dying at Merril Park in Concord! #FITN,,,,,,POSITIVE
2,OMGGGGGG @Joe_Sugg WHERE THE HELL DID THAT COME FROM!? u legendddd! #Biden all the way.,,,,,,NEGATIVE
3,LETS GO JOE! LETS GO JOE! LETS GO JOE! LETS GO JOE! #BIDEN2020!!!!,,,,,,POSITIVE
4,What's Joe Biden saying on #RenewableEnergy? #Biden @TeamJoe #TeamJoeFellows Love to see (hopefully) constructive conversation. (FYI/#TwitterTips: Replies this level are diff. than replies within &amp; via clicking orig. tweet. below.),,,,,,NEGATIVE
5,correct on both. i'm glad #JoeBiden has a shadow task force up and running,,,,,,POSITIVE
6,One more office opening to end the weekend! Thanks @DrBiden for coming help #Biden open up the new digs in Reno.,,,,,,POSITIVE
7,"Hey everyone. Go help my dude @JoePisapia17 vanquish the demon Nick Foles in battle buy purchasing The Fantasy Black Book. Ok, Nick Foles is not a demon. He is actually a very nice guy. But STILL! He must be defeated!",,,,,,NEGATIVE
8,"Okay then, I'm on it!!! And remember folks, Greg Gutfeld says he's never met a Biden supporter. #ImABidenSupporter!",,,,,,NEGATIVE
9,"Are you actually trying, as president of the U.S., to start a war??!! #VoteBlueToSaveAmerica2020 #Biden",,,,,,NEGATIVE
10,I get it and so do other Americans! We all have things to overcome and he's overcome plenty in his life! #JoesGotMyVote #JoeBiden,,,,,,POSITIVE
11,"Actually Joe Biden has had one hell of a long groping spree, some might think the fact that nobody has kicked his ass yet is an accomplishment.",,,,,,POSITIVE
12,Thanks for the news update Sleepy Joe Now back to the basement for warm cookies and milk #WheresHunterBiden,,,,,,NEGATIVE
13,This totally erases all the hair sniffing & crowding in by #Biden because deflection is all you have. #VoteGreenHandsClean #GreenParty2020,,,,,,NEGATIVE
14,Omg! Did you forget to take your meds ? Yours is coming!!! #WalkAwayFromDemocrats #LiberalismIsAMentalDisorder #JoeBiden,,,,,,NEGATIVE
15,"Still didn't make it false, keep screaming your sycophantic, willfull ignorance into the void though... #DNCisCorrupt #JoeBiden",,,,,,NEGATIVE
16,.@WCIA3 Hmmm...how would YOU know that #JoeBiden won BEFORE the primary has even been held unless the FIX IS ALREADY IN!,,,,,,NEGATIVE
17,And...Let's Remember how #Biden #SloppyJoe Biden stands on China ... They're Not Bad Folks.. They're Not Competition for Us... Click below to read the * Real News*,,,,,,POSITIVE
18,Joe Biden should be in an elderly home...He is utterly delusional.,,,,,,NEGATIVE
19,The dems had a field day with W. Bush whenever he mispoke..... Awful quiet and defensive of #JoeBiden though.,,,,,,NEGATIVE
20,Two questions 1 - Is #FloppyJoe going to talk more than 10 minutes? 2 - If so can The Dr keep her eff trap shut? We all know #Biden will be reading cue cards That's a given,,,,,,NEGATIVE
21,This is why Liberals can't meme. Liberals are bankrupted ideology There millions and millions of memes of @JoeBiden and conservatives are fucking good at it It is mesmerizing and oh boy #JoeBiden and #CreepyLiberals are pathetics,,,,,,POSITIVE
22,With Joe Biden Declaring His Presidential Bid We Are Officially in the Era of Grumpy Old Men > @JoeBiden,,,,,,POSITIVE
23,"#JoeBiden I know you slurred the words but you also misspelled ""TAX loopholes for Delaware banks and credit firms""",,,,,,NEGATIVE
24,This is what needs to be said. Come back to the 49ers Leader Joe!,,,,,,POSITIVE
25,@BarackObama and @JoeBiden missed the opportunity for 8 years. These two clowns dropped the ball in almost every area. Joe isnt the clown we need. #JoeBiden Vote Green.,,,,,,NEGATIVE
26,"1. Aid was released ahead of schedule. 2. There are NO victims, therefore NO crime. 3. Democrat corruption in Ukraine is real. 4. NOBODY CARES!! @dbongino @JoeHoz1 #NobodyCares",,,,,,NEGATIVE
27,Self embattled president doles tax payer dollars out in an effort to make people like him. #TooLittle #TooLate #JoeBiden,,,,,,NEGATIVE
28,"#Joe2020, did Ed Rendell mention he now thinks it was a mistake to install Frank Rizzo statue at the gateway to municipal services? It happened on his watch. @PhillyMayor promised to move it two years ago but monument to #PoliceBrutality is still there. #JoeBiden",,,,,,NEGATIVE
29,"YES! What a great meet and greet!!!!! Hey, anyone seen @JoeBiden or #Biden lately?",,,,,,POSITIVE
30,I'd rather hitchhike with #Biden than donate money to any Organization Hillary is associated with. #StayHomeSaveLives,,,,,,NEGATIVE
31,"@MikeBloomberg hey where are you? Havent heard from you? Speak up, speak out! #BlackLivesMattters and #VoteBlue2020 #Biden",,,,,,NEGATIVE
32,"Just a reminder, the past is not a real thing to these ppl #VoteBlueNoMatterWho2020 #Biden",,,,,,NEGATIVE
33,Vote for #JoeBiden if you want the DREAM act to stay for these courageous kids and young adults!,,,,,,POSITIVE
34,"The move forward is to get ALL progressive media to hold a round table town hall and put out a joint statement in support for #Ventura2020 . Enough talking about Biden, Pelosi and the DNC. We Are Done With Them!!! Activate your bases in support of #Berner2Ventura2020",,,,,,POSITIVE
35,Thank you @BidenCancer for including our #BidenCancerSummit! Thank you @ucsc professors for sharing about your #CancerResearch! Thank you #SantaCruz community for supporting our efforts to accelerate progress in defeating cancer! And thank you VP @JoeBiden for making #hope real!,,,,,,POSITIVE
36,"@JoeBiden Your words about the time when a memory brings a smile to the lips before a tear to the eye made me cry. I hope your promise is fulfilled. Missing my late husband ... and the tears still flow, the heart still aches. Thank you.",,,,,,POSITIVE
37,This article & the pics of @JoeBiden doing his shopping at Costco . It truly doesnt get any better than this! #CantWaitToVoteForJoe!,,,,,,NEGATIVE
38,See my daily posts for you on Facebook at Don James Worst #JoeBiden #GodSaveAmerica #SaveUSJoe,,,,,,NEGATIVE
39,Who will make the most outrageous claim? We know that #JoeBiden will cure cancer. Who will top that? #DemDebate,,,,,,NEGATIVE
40,"Biden talking about climate change does nothing to change my opinion that he has amazing fire and sees a problem, but has no clue how bad the problem really is or the level of revolution that it will take to fix. I hope I'm wrong. #DemocraticDebate",,,,,,NEGATIVE
41,"Joe Bidens Paid Speech Buoyed the G.O.P. in Midwest Battleground .@JoeBiden Not cool. We need Dems in Congress, &amp; this speech caused a Dem to lose #DontRun",,,,,,NEGATIVE
42,#ICYMI: Former Vice President @JoeBiden spoke at Temple last week as @TempleMCPB's spring speaker.,,,,,,POSITIVE
43,The fact that the #mainstreammedia thinks that a LONG career in the #Senate is a good reason to elect someone for president is telling. Representative and Senate seats weren't meant to be held for 30 years. Those types of people are apart of the problem. #JoeBiden,,,,,,NEGATIVE
44,"Bloomberg drops out after terrible Super Tuesday, endorses Biden | TheHill #USPolitics",,,,,,NEGATIVE
45,"Joe Biden unless you can challenge NRA, AIPAC, Energy Industry, Pharma Industry, Defense Industry, your presidency will not make a difference. Not at all.",,,,,,NEGATIVE
46,"Former national security advisor #SusanRice Thursday said she ""certainly would say yes"" if former Vice President #JoeBiden asked her to be his running mate in the presidential election.",,,,,,POSITIVE
47,Joementum combined with a surge in spending (after virtually none) may (assuming half decent ads) help Biden in advance of the general. Looking to see if Presidential choice polls put Biden ahead and more so than in months past. #Democrats2020,,,,,,NEGATIVE
48,"@JoeBiden gained 16,777 Twitter followers in the last day, for a 0.3692% increase, with a current count of 4,543,839 followers. #2020election",,,,,,NEGATIVE
49,"PLEASE...Announce your candidacy for the next Presidential election, Joe Biden @JoeBiden. You have my continued support and of course, my vote.",,,,,,POSITIVE
50,when you care more about illegals and other countries than your own....and foreign interference - how many votes come from Mexico to elect Democrats #Biden,,,,,,NEGATIVE
51,"oh please...your kids donT HAVE to work with their sweetheart deals - Hunter Biden and James Biden can pass millions onto all of you. STOP LYING. playG poor when you have lived in a Dupont MANSION for 42 years. with a ballroom and grand staircase. come ON, man. @DrBiden @KBeds",,,,,,NEGATIVE
52,"Grandpa Joe Creeps on Teens at Town Hall - 'Anyone Under 15 Come Talk to Me, You Get Something Special' (VIDEO) #biden ~",,,,,,NEGATIVE
53,"That's just good natured fun. Ain't it, Uncle @JoeBiden . Just like you and the Lion of the Senate back in the day, eh? Remember those staffers who'd fight over the honor of working late with you? And those Air Force ""flight attendants"" you picked for AF 2? Such integrity!",,,,,,POSITIVE
54,"#JoeBiden believes he already won the election and that it is December 2020 right now. Seriously, if he were to be elected, who really would be in charge, this 80 yr old senile rapist buffoon? or who? Would America really know who is giving the orders with someone like him?",,,,,,NEGATIVE
55,stop with the Anita Hill. Biden didn't even vote for Clarence Thomas and he went on to write the VAWA act. We are fighting this now:,,,,,,NEGATIVE
56,@JoeBiden did a great job stumping for @SenDougJones now he is helping Connor Lamb in #Pennsylvania,,,,,,POSITIVE
57,These are golden quotes here! Joe Biden is nowhere near as well spoken. #Election2020,,,,,,NEGATIVE
58,You and #JoeBiden are cut from the same cloth... Can not go a day without putting your foot in your mouth.,,,,,,NEGATIVE
59,First time with renovated field w/lights. A very generous alumni group paid for lights at least one game a year. Go @SouthHighMpls #Tigers. I rerm er when former @JoeBiden visited and participated in practice. Proud day for the #Tiger community.,,,,,,POSITIVE
60,Once again @GOPChairwoman nails it. Don't my Democrat friends think @JoeBiden is a man of honor? Would he demand and be able to defend such an investigation today?,,,,,,NEGATIVE
61,"#JoeBiden I am suffering from dementia and sleepiness. I'm sorry, I don't know why I'm running for President. The #swamp wants me there. No big deal, someone else will really be doing my work as Prez. I'll just shake hands and act my goofy self every few days for the cameras.",,,,,,NEGATIVE
62,"Mueller began on a flawed pretense. Given that, can we say he did a good enough job at getting to the truth? #Mueller #GOP #RebukeBarr #JoeBiden",,,,,,NEGATIVE
63,"Wow. Castro just lost all my respect by his rude, disrespectful and ageist remarks toward @JoeBiden. There is no need for nasty remarks in Dem debates. Our party is better than that. #DemocraticDebate #maddow #inners #lastword",,,,,,NEGATIVE
